Front;Back;Tags
A piece of<br><br>I ate a piece of cake after lunch.<br>[sound:vocab_a_piece_of_1.mp3];"<b>um pedaço de</b><br><br>Eu comi um pedaço de bolo depois do almoço.<br><br><b>Collocations:</b> piece of cake; piece of cheese; piece of advice<br><br><b>Question:</b> What is something you usually eat a piece of?<br><b>Answer:</b> I usually eat a piece of cake or a piece of cheese.";vocabulary oral_test phase1
A piece of<br><br>Can I have a piece of cheese with my sandwich?<br>[sound:vocab_a_piece_of_2.mp3];"<b>um pedaço de</b><br><br>Posso comer um pedaço de queijo com meu sanduíche?<br><br><b>Collocations:</b> piece of cake; piece of cheese; piece of advice<br><br><b>Question:</b> What is something you usually eat a piece of?<br><b>Answer:</b> I usually eat a piece of cake or a piece of cheese.";vocabulary oral_test phase1
A piece of<br><br>She gave me a useful piece of advice.<br>[sound:vocab_a_piece_of_3.mp3];"<b>um pedaço de</b><br><br>Ela me deu um conselho útil.<br><br><b>Collocations:</b> piece of cake; piece of cheese; piece of advice<br><br><b>Question:</b> What is something you usually eat a piece of?<br><b>Answer:</b> I usually eat a piece of cake or a piece of cheese.";vocabulary oral_test phase1
A loaf of<br><br>I bought a loaf of bread this morning.<br>[sound:vocab_a_loaf_of_1.mp3];"<b>um pão inteiro</b><br><br>Comprei um pão esta manhã.<br><br><b>Collocations:</b> loaf of bread; fresh loaf; whole loaf<br><br><b>Question:</b> How often do you buy a loaf of bread?<br><b>Answer:</b> I usually buy a loaf of bread once or twice a week.";vocabulary oral_test phase1
A loaf of<br><br>We need another loaf of bread for breakfast.<br>[sound:vocab_a_loaf_of_2.mp3];"<b>um pão inteiro</b><br><br>Precisamos de outro pão para o café da manhã.<br><br><b>Collocations:</b> loaf of bread; fresh loaf; whole loaf<br><br><b>Question:</b> How often do you buy a loaf of bread?<br><b>Answer:</b> I usually buy a loaf of bread once or twice a week.";vocabulary oral_test phase1
A loaf of<br><br>The bakery sells fresh loaves every day.<br>[sound:vocab_a_loaf_of_3.mp3];"<b>um pão inteiro</b><br><br>A padaria vende pães frescos todos os dias.<br><br><b>Collocations:</b> loaf of bread; fresh loaf; whole loaf<br><br><b>Question:</b> How often do you buy a loaf of bread?<br><b>Answer:</b> I usually buy a loaf of bread once or twice a week.";vocabulary oral_test phase1
A slice of<br><br>I had a slice of pizza for dinner.<br>[sound:vocab_a_slice_of_1.mp3];"<b>uma fatia de</b><br><br>Comi uma fatia de pizza no jantar.<br><br><b>Collocations:</b> slice of pizza; slice of bread; slice of cheese<br><br><b>Question:</b> What is your favorite slice of food?<br><b>Answer:</b> My favorite is a slice of pizza.";vocabulary oral_test phase1
A slice of<br><br>Can you cut me a slice of bread?<br>[sound:vocab_a_slice_of_2.mp3];"<b>uma fatia de</b><br><br>Você pode cortar uma fatia de pão para mim?<br><br><b>Collocations:</b> slice of pizza; slice of bread; slice of cheese<br><br><b>Question:</b> What is your favorite slice of food?<br><b>Answer:</b> My favorite is a slice of pizza.";vocabulary oral_test phase1
A slice of<br><br>She ate two slices of cheese.<br>[sound:vocab_a_slice_of_3.mp3];"<b>uma fatia de</b><br><br>Ela comeu duas fatias de queijo.<br><br><b>Collocations:</b> slice of pizza; slice of bread; slice of cheese<br><br><b>Question:</b> What is your favorite slice of food?<br><b>Answer:</b> My favorite is a slice of pizza.";vocabulary oral_test phase1
A bag of<br><br>We bought a bag of chips for the movie.<br>[sound:vocab_a_bag_of_1.mp3];"<b>um pacote/saco de</b><br><br>Compramos um pacote de batata para o filme.<br><br><b>Collocations:</b> bag of chips; bag of rice; bag of coffee<br><br><b>Question:</b> What do you usually buy in a bag?<br><b>Answer:</b> I usually buy a bag of rice or a bag of chips.";vocabulary oral_test phase1
